file_name,flash_usage,ram_usage,memory_usage,encryption_time,encryption_voltage,encryption_current,encryption_power,decryption_time,decryption_voltage,decryption_current,decryption_power
speck128rfid_16,15104,1107,1142,460,4.16,7.2,0.029952,472,4.16,7.2,0.029952
speck128rfid_32,15178,1139,1174,636,4.17,7.3,0.030441,656,4.16,7.0,0.02912
speck128rfid_48,15192,1171,1208,816,4.16,7.1,0.029536,844,4.16,7.2,0.029952
speck128rfid_64,15220,1203,1240,996,4.16,7.1,0.029536,1036,4.16,7.2,0.029952
speck128rfid_80,15220,1235,1272,1176,4.17,7.3,0.030441,1220,4.16,7.1,0.029536
speck128rfid_96,15220,1267,1304,1352,4.16,7.3,0.030368000000000003,1404,4.16,6.8,0.028288
speck128rfid_112,15268,1299,1336,1528,4.16,7.2,0.029952,1592,4.17,6.9,0.028773000000000003
speck128rfid_128,15294,1331,1368,1704,4.16,7.1,0.029536,1772,4.16,7.0,0.02912
speck128rfid_144,15292,1363,1400,1888,4.16,7.1,0.029536,1960,4.16,7.1,0.029536
speck128rfid_160,15292,1395,1432,2064,4.16,7.2,0.029952,2156,4.16,6.9,0.028704000000000004
speck128rfid_176,15292,1427,1464,2240,4.17,7.2,0.030024,2340,4.16,6.9,0.028704000000000004
speck128rfid_192,15292,1459,1496,2416,4.16,7.1,0.029536,2528,4.16,6.9,0.028704000000000004
speck128rfid_208,15292,1491,1528,2592,4.16,7.0,0.02912,2712,4.16,7.2,0.029952
speck128rfid_224,15292,1523,1560,2776,4.17,6.9,0.028773000000000003,2896,4.16,7.0,0.02912
speck128rfid_240,15292,1555,1592,2952,4.16,7.0,0.02912,3080,4.16,6.8,0.028288
speck128rfid_256,15290,1587,1624,3128,4.16,6.9,0.028704000000000004,3276,4.16,7.0,0.02912
speck128rfid_272,15162,1619,,3304,4.17,0.0,,3432,31.74,0.0,
speck128rfid_288,15162,1651,,,,,,,,,
speck128rfid_304,15162,1683,,3660,0.4,0.0,,3796,7.17,0.0,
speck128rfid_320,15162,1715,,3840,0.4,0.0,,3988,11.26,0.0,
speck128rfid_336,15162,1747,,27676,0.41,0.0,,28912,15.36,0.0,
speck128rfid_352,15162,1779,13117,1484,0.42,0.0,,16768,19.46,0.0,
speck128rfid_368,15162,1811,,,,,,,,,
speck128rfid_384,15162,1843,,,,,,,,,
speck128rfid_400,15162,1875,,,,,,,,,
