file_name,flash_usage,ram_usage,memory_usage,encryption_time,encryption_voltage,encryption_current,encryption_power,decryption_time,decryption_voltage,decryption_current,decryption_power,byte_size
speck128rfid_16,15104,1107,1142,460,4.162,6.96,0.0289672,472,4.162,7.02,0.029217,16
speck128rfid_32,15178,1139,1174,636,4.164,7.2,0.0299806,656,4.166,7.08,0.029496,32
speck128rfid_48,15192,1171,1208,816,4.16,7.12,0.0296192,844,4.162,7.06,0.0293836,48
speck128rfid_64,15220,1203,1240,996,4.162,7.1,0.0295502,1036,4.16,7.14,0.0297024,64
speck128rfid_80,15220,1267,1272,1352,4.162,7.1,0.02955,1404,4.16,6.98,0.0290368,80
speck128rfid_96,15220,1267,1304,1352,4.162,7.1,0.02955,1404,4.16,6.98,0.0290368,96
speck128rfid_112,15268,1299,1336,1528,4.16,7.08,0.0294528,1588.8,4.162,7.14,0.0297162,112
speck128rfid_128,15294,1331,1368,1704,4.162,7.02,0.0292172,1772.8,4.162,7.06,0.0293838,128
speck128rfid_144,15292,1363,1400,1887.2,4.162,7.06,0.0293836,1960.8,4.162,7.04,0.0293004,144
speck128rfid_160,15292,1395,1432,2063.2,4.16,7.04,0.0292864,2155.2,4.16,7.02,0.0292032,160
speck128rfid_176,15292,1427,1464,2238.4,4.164,7.2,0.029981,2338.4,4.16,7,0.02912,176
speck128rfid_192,15292,1459,1496,2416,4.16,7.08,0.0294528,2527.2,4.16,7.02,0.0292032,192
speck128rfid_208,15292,1491,1528,2592,4.162,7.06,0.0293838,2712,4.158,7.06,0.0293554,208
speck128rfid_224,15292,1523,1560,2776,4.164,6.96,0.028981,2896,4.16,7.06,0.0293696,224
speck128rfid_240,15292,1555,1592,2952,4.164,7.06,0.0293984,3080,4.16,6.98,0.0290368,240
speck128rfid_256,15290,1587,1624,3128,4.162,7.16,0.0298004,3272.8,4.158,7.1,0.029522,256
